feature_index,feature_name,feature_role,repeat_index,heldout_split,random_state,baseline_score,baseline_log_loss,importance_delta,permuted_score,permuted_log_loss,direction
5,had_support_ticket_14d,numeric,1,validation,1605,-0.698394,0.698394,0.0,-0.698394,0.698394,zero
5,had_support_ticket_14d,numeric,2,validation,1605,-0.698394,0.698394,0.0,-0.698394,0.698394,zero
5,had_support_ticket_14d,numeric,3,validation,1605,-0.698394,0.698394,0.0,-0.698394,0.698394,zero
5,had_support_ticket_14d,numeric,4,validation,1605,-0.698394,0.698394,0.0,-0.698394,0.698394,zero
5,had_support_ticket_14d,numeric,5,validation,1605,-0.698394,0.698394,0.0,-0.698394,0.698394,zero
5,had_support_ticket_14d,numeric,6,validation,1605,-0.698394,0.698394,0.0,-0.698394,0.698394,zero
5,had_support_ticket_14d,numeric,7,validation,1605,-0.698394,0.698394,0.0,-0.698394,0.698394,zero
6,plan_id,categorical,1,validation,1605,-0.698394,0.698394,0.0,-0.698394,0.698394,zero
6,plan_id,categorical,2,validation,1605,-0.698394,0.698394,0.0,-0.698394,0.698394,zero
6,plan_id,categorical,3,validation,1605,-0.698394,0.698394,0.0,-0.698394,0.698394,zero
6,plan_id,categorical,4,validation,1605,-0.698394,0.698394,0.0,-0.698394,0.698394,zero
6,plan_id,categorical,5,validation,1605,-0.698394,0.698394,0.0,-0.698394,0.698394,zero
6,plan_id,categorical,6,validation,1605,-0.698394,0.698394,0.0,-0.698394,0.698394,zero
6,plan_id,categorical,7,validation,1605,-0.698394,0.698394,0.0,-0.698394,0.698394,zero
7,platform,categorical,1,validation,1605,-0.698394,0.698394,-0.020513,-0.677881,0.677881,loss_decrease_when_permuted
7,platform,categorical,2,validation,1605,-0.698394,0.698394,0.0,-0.698394,0.698394,zero
7,platform,categorical,3,validation,1605,-0.698394,0.698394,0.0,-0.698394,0.698394,zero
7,platform,categorical,4,validation,1605,-0.698394,0.698394,-0.020513,-0.677881,0.677881,loss_decrease_when_permuted
7,platform,categorical,5,validation,1605,-0.698394,0.698394,0.0,-0.698394,0.698394,zero
7,platform,categorical,6,validation,1605,-0.698394,0.698394,-0.020513,-0.677881,0.677881,loss_decrease_when_permuted
7,platform,categorical,7,validation,1605,-0.698394,0.698394,-0.020513,-0.677881,0.677881,loss_decrease_when_permuted
8,country,categorical,1,validation,1605,-0.698394,0.698394,0.0,-0.698394,0.698394,zero
8,country,categorical,2,validation,1605,-0.698394,0.698394,0.0,-0.698394,0.698394,zero
8,country,categorical,3,validation,1605,-0.698394,0.698394,0.0,-0.698394,0.698394,zero
8,country,categorical,4,validation,1605,-0.698394,0.698394,0.0,-0.698394,0.698394,zero
8,country,categorical,5,validation,1605,-0.698394,0.698394,0.0,-0.698394,0.698394,zero
8,country,categorical,6,validation,1605,-0.698394,0.698394,0.0,-0.698394,0.698394,zero
8,country,categorical,7,validation,1605,-0.698394,0.698394,0.0,-0.698394,0.698394,zero
9,acquisition_channel,categorical,1,validation,1605,-0.698394,0.698394,0.0,-0.698394,0.698394,zero
9,acquisition_channel,categorical,2,validation,1605,-0.698394,0.698394,0.0,-0.698394,0.698394,zero
9,acquisition_channel,categorical,3,validation,1605,-0.698394,0.698394,0.0,-0.698394,0.698394,zero
9,acquisition_channel,categorical,4,validation,1605,-0.698394,0.698394,0.0,-0.698394,0.698394,zero
9,acquisition_channel,categorical,5,validation,1605,-0.698394,0.698394,0.0,-0.698394,0.698394,zero
9,acquisition_channel,categorical,6,validation,1605,-0.698394,0.698394,0.0,-0.698394,0.698394,zero
9,acquisition_channel,categorical,7,validation,1605,-0.698394,0.698394,0.0,-0.698394,0.698394,zero
