forecast_id,model_run_id,metric_id,segment_id,model_id,family,forecast_date,horizon_step,forecast_value,training_end,raw_step,skipped_embargo_dates
active-subscriptions-4w-capacity,active-subscriptions-statsmodels-candidates,active_subscriptions,all,ets_additive_trend_seasonal_7,ETS,2026-03-28,11,1185.999973,2026-03-16,12,2026-03-17
active-subscriptions-4w-capacity,active-subscriptions-statsmodels-candidates,active_subscriptions,all,ets_additive_trend_seasonal_7,ETS,2026-03-29,12,1194.999949,2026-03-16,13,2026-03-17
active-subscriptions-4w-capacity,active-subscriptions-statsmodels-candidates,active_subscriptions,all,ets_additive_trend_seasonal_7,ETS,2026-03-30,13,1249.999819,2026-03-16,14,2026-03-17
active-subscriptions-4w-capacity,active-subscriptions-statsmodels-candidates,active_subscriptions,all,ets_additive_trend_seasonal_7,ETS,2026-03-31,14,1258.999686,2026-03-16,15,2026-03-17
active-subscriptions-4w-capacity,active-subscriptions-statsmodels-candidates,active_subscriptions,all,ets_additive_trend_seasonal_7,ETS,2026-04-01,15,1267.999633,2026-03-16,16,2026-03-17
active-subscriptions-4w-capacity,active-subscriptions-statsmodels-candidates,active_subscriptions,all,ets_additive_trend_seasonal_7,ETS,2026-04-02,16,1276.999733,2026-03-16,17,2026-03-17
active-subscriptions-4w-capacity,active-subscriptions-statsmodels-candidates,active_subscriptions,all,ets_additive_trend_seasonal_7,ETS,2026-04-03,17,1285.999863,2026-03-16,18,2026-03-17
active-subscriptions-4w-capacity,active-subscriptions-statsmodels-candidates,active_subscriptions,all,ets_additive_trend_seasonal_7,ETS,2026-04-04,18,1248.999882,2026-03-16,19,2026-03-17
active-subscriptions-4w-capacity,active-subscriptions-statsmodels-candidates,active_subscriptions,all,ets_additive_trend_seasonal_7,ETS,2026-04-05,19,1257.999858,2026-03-16,20,2026-03-17
active-subscriptions-4w-capacity,active-subscriptions-statsmodels-candidates,active_subscriptions,all,ets_additive_trend_seasonal_7,ETS,2026-04-06,20,1312.999729,2026-03-16,21,2026-03-17
active-subscriptions-4w-capacity,active-subscriptions-statsmodels-candidates,active_subscriptions,all,ets_additive_trend_seasonal_7,ETS,2026-04-07,21,1321.999595,2026-03-16,22,2026-03-17
active-subscriptions-4w-capacity,active-subscriptions-statsmodels-candidates,active_subscriptions,all,ets_additive_trend_seasonal_7,ETS,2026-04-08,22,1330.999543,2026-03-16,23,2026-03-17
active-subscriptions-4w-capacity,active-subscriptions-statsmodels-candidates,active_subscriptions,all,ets_additive_trend_seasonal_7,ETS,2026-04-09,23,1339.999642,2026-03-16,24,2026-03-17
active-subscriptions-4w-capacity,active-subscriptions-statsmodels-candidates,active_subscriptions,all,ets_additive_trend_seasonal_7,ETS,2026-04-10,24,1348.999772,2026-03-16,25,2026-03-17
active-subscriptions-4w-capacity,active-subscriptions-statsmodels-candidates,active_subscriptions,all,ets_additive_trend_seasonal_7,ETS,2026-04-11,25,1311.999792,2026-03-16,26,2026-03-17
active-subscriptions-4w-capacity,active-subscriptions-statsmodels-candidates,active_subscriptions,all,ets_additive_trend_seasonal_7,ETS,2026-04-12,26,1320.999768,2026-03-16,27,2026-03-17
active-subscriptions-4w-capacity,active-subscriptions-statsmodels-candidates,active_subscriptions,all,ets_additive_trend_seasonal_7,ETS,2026-04-13,27,1375.999638,2026-03-16,28,2026-03-17
active-subscriptions-4w-capacity,active-subscriptions-statsmodels-candidates,active_subscriptions,all,ets_additive_trend_seasonal_7,ETS,2026-04-14,28,1384.999505,2026-03-16,29,2026-03-17
active-subscriptions-4w-capacity,active-subscriptions-statsmodels-candidates,active_subscriptions,all,arima_1_1_0,ARIMA,2026-03-18,1,1129.062333,2026-03-16,2,2026-03-17
active-subscriptions-4w-capacity,active-subscriptions-statsmodels-candidates,active_subscriptions,all,arima_1_1_0,ARIMA,2026-03-19,2,1129.103555,2026-03-16,3,2026-03-17
active-subscriptions-4w-capacity,active-subscriptions-statsmodels-candidates,active_subscriptions,all,arima_1_1_0,ARIMA,2026-03-20,3,1129.107446,2026-03-16,4,2026-03-17
active-subscriptions-4w-capacity,active-subscriptions-statsmodels-candidates,active_subscriptions,all,arima_1_1_0,ARIMA,2026-03-21,4,1129.107814,2026-03-16,5,2026-03-17
active-subscriptions-4w-capacity,active-subscriptions-statsmodels-candidates,active_subscriptions,all,arima_1_1_0,ARIMA,2026-03-22,5,1129.107848,2026-03-16,6,2026-03-17
active-subscriptions-4w-capacity,active-subscriptions-statsmodels-candidates,active_subscriptions,all,arima_1_1_0,ARIMA,2026-03-23,6,1129.107852,2026-03-16,7,2026-03-17
active-subscriptions-4w-capacity,active-subscriptions-statsmodels-candidates,active_subscriptions,all,arima_1_1_0,ARIMA,2026-03-24,7,1129.107852,2026-03-16,8,2026-03-17
active-subscriptions-4w-capacity,active-subscriptions-statsmodels-candidates,active_subscriptions,all,arima_1_1_0,ARIMA,2026-03-25,8,1129.107852,2026-03-16,9,2026-03-17
active-subscriptions-4w-capacity,active-subscriptions-statsmodels-candidates,active_subscriptions,all,arima_1_1_0,ARIMA,2026-03-26,9,1129.107852,2026-03-16,10,2026-03-17
active-subscriptions-4w-capacity,active-subscriptions-statsmodels-candidates,active_subscriptions,all,arima_1_1_0,ARIMA,2026-03-27,10,1129.107852,2026-03-16,11,2026-03-17
active-subscriptions-4w-capacity,active-subscriptions-statsmodels-candidates,active_subscriptions,all,arima_1_1_0,ARIMA,2026-03-28,11,1129.107852,2026-03-16,12,2026-03-17
active-subscriptions-4w-capacity,active-subscriptions-statsmodels-candidates,active_subscriptions,all,arima_1_1_0,ARIMA,2026-03-29,12,1129.107852,2026-03-16,13,2026-03-17
active-subscriptions-4w-capacity,active-subscriptions-statsmodels-candidates,active_subscriptions,all,arima_1_1_0,ARIMA,2026-03-30,13,1129.107852,2026-03-16,14,2026-03-17
active-subscriptions-4w-capacity,active-subscriptions-statsmodels-candidates,active_subscriptions,all,arima_1_1_0,ARIMA,2026-03-31,14,1129.107852,2026-03-16,15,2026-03-17
active-subscriptions-4w-capacity,active-subscriptions-statsmodels-candidates,active_subscriptions,all,arima_1_1_0,ARIMA,2026-04-01,15,1129.107852,2026-03-16,16,2026-03-17
active-subscriptions-4w-capacity,active-subscriptions-statsmodels-candidates,active_subscriptions,all,arima_1_1_0,ARIMA,2026-04-02,16,1129.107852,2026-03-16,17,2026-03-17
active-subscriptions-4w-capacity,active-subscriptions-statsmodels-candidates,active_subscriptions,all,arima_1_1_0,ARIMA,2026-04-03,17,1129.107852,2026-03-16,18,2026-03-17
active-subscriptions-4w-capacity,active-subscriptions-statsmodels-candidates,active_subscriptions,all,arima_1_1_0,ARIMA,2026-04-04,18,1129.107852,2026-03-16,19,2026-03-17
active-subscriptions-4w-capacity,active-subscriptions-statsmodels-candidates,active_subscriptions,all,arima_1_1_0,ARIMA,2026-04-05,19,1129.107852,2026-03-16,20,2026-03-17
active-subscriptions-4w-capacity,active-subscriptions-statsmodels-candidates,active_subscriptions,all,arima_1_1_0,ARIMA,2026-04-06,20,1129.107852,2026-03-16,21,2026-03-17
active-subscriptions-4w-capacity,active-subscriptions-statsmodels-candidates,active_subscriptions,all,arima_1_1_0,ARIMA,2026-04-07,21,1129.107852,2026-03-16,22,2026-03-17
active-subscriptions-4w-capacity,active-subscriptions-statsmodels-candidates,active_subscriptions,all,arima_1_1_0,ARIMA,2026-04-08,22,1129.107852,2026-03-16,23,2026-03-17
active-subscriptions-4w-capacity,active-subscriptions-statsmodels-candidates,active_subscriptions,all,arima_1_1_0,ARIMA,2026-04-09,23,1129.107852,2026-03-16,24,2026-03-17
active-subscriptions-4w-capacity,active-subscriptions-statsmodels-candidates,active_subscriptions,all,arima_1_1_0,ARIMA,2026-04-10,24,1129.107852,2026-03-16,25,2026-03-17
active-subscriptions-4w-capacity,active-subscriptions-statsmodels-candidates,active_subscriptions,all,arima_1_1_0,ARIMA,2026-04-11,25,1129.107852,2026-03-16,26,2026-03-17
active-subscriptions-4w-capacity,active-subscriptions-statsmodels-candidates,active_subscriptions,all,arima_1_1_0,ARIMA,2026-04-12,26,1129.107852,2026-03-16,27,2026-03-17
active-subscriptions-4w-capacity,active-subscriptions-statsmodels-candidates,active_subscriptions,all,arima_1_1_0,ARIMA,2026-04-13,27,1129.107852,2026-03-16,28,2026-03-17
active-subscriptions-4w-capacity,active-subscriptions-statsmodels-candidates,active_subscriptions,all,arima_1_1_0,ARIMA,2026-04-14,28,1129.107852,2026-03-16,29,2026-03-17
active-subscriptions-4w-capacity,active-subscriptions-statsmodels-candidates,active_subscriptions,android,ets_additive_trend_seasonal_7,ETS,2026-03-18,1,381.999999,2026-03-16,2,2026-03-17
active-subscriptions-4w-capacity,active-subscriptions-statsmodels-candidates,active_subscriptions,android,ets_additive_trend_seasonal_7,ETS,2026-03-19,2,385.999999,2026-03-16,3,2026-03-17
active-subscriptions-4w-capacity,active-subscriptions-statsmodels-candidates,active_subscriptions,android,ets_additive_trend_seasonal_7,ETS,2026-03-20,3,389.999999,2026-03-16,4,2026-03-17
active-subscriptions-4w-capacity,active-subscriptions-statsmodels-candidates,active_subscriptions,android,ets_additive_trend_seasonal_7,ETS,2026-03-21,4,376.999998,2026-03-16,5,2026-03-17
active-subscriptions-4w-capacity,active-subscriptions-statsmodels-candidates,active_subscriptions,android,ets_additive_trend_seasonal_7,ETS,2026-03-22,5,380.999998,2026-03-16,6,2026-03-17
active-subscriptions-4w-capacity,active-subscriptions-statsmodels-candidates,active_subscriptions,android,ets_additive_trend_seasonal_7,ETS,2026-03-23,6,401.999998,2026-03-16,7,2026-03-17
active-subscriptions-4w-capacity,active-subscriptions-statsmodels-candidates,active_subscriptions,android,ets_additive_trend_seasonal_7,ETS,2026-03-24,7,405.999997,2026-03-16,8,2026-03-17
active-subscriptions-4w-capacity,active-subscriptions-statsmodels-candidates,active_subscriptions,android,ets_additive_trend_seasonal_7,ETS,2026-03-25,8,409.999997,2026-03-16,9,2026-03-17
active-subscriptions-4w-capacity,active-subscriptions-statsmodels-candidates,active_subscriptions,android,ets_additive_trend_seasonal_7,ETS,2026-03-26,9,413.999997,2026-03-16,10,2026-03-17
active-subscriptions-4w-capacity,active-subscriptions-statsmodels-candidates,active_subscriptions,android,ets_additive_trend_seasonal_7,ETS,2026-03-27,10,417.999996,2026-03-16,11,2026-03-17
active-subscriptions-4w-capacity,active-subscriptions-statsmodels-candidates,active_subscriptions,android,ets_additive_trend_seasonal_7,ETS,2026-03-28,11,404.999995,2026-03-16,12,2026-03-17
active-subscriptions-4w-capacity,active-subscriptions-statsmodels-candidates,active_subscriptions,android,ets_additive_trend_seasonal_7,ETS,2026-03-29,12,408.999995,2026-03-16,13,2026-03-17
active-subscriptions-4w-capacity,active-subscriptions-statsmodels-candidates,active_subscriptions,android,ets_additive_trend_seasonal_7,ETS,2026-03-30,13,429.999995,2026-03-16,14,2026-03-17
active-subscriptions-4w-capacity,active-subscriptions-statsmodels-candidates,active_subscriptions,android,ets_additive_trend_seasonal_7,ETS,2026-03-31,14,433.999995,2026-03-16,15,2026-03-17
active-subscriptions-4w-capacity,active-subscriptions-statsmodels-candidates,active_subscriptions,android,ets_additive_trend_seasonal_7,ETS,2026-04-01,15,437.999994,2026-03-16,16,2026-03-17
active-subscriptions-4w-capacity,active-subscriptions-statsmodels-candidates,active_subscriptions,android,ets_additive_trend_seasonal_7,ETS,2026-04-02,16,441.999994,2026-03-16,17,2026-03-17
active-subscriptions-4w-capacity,active-subscriptions-statsmodels-candidates,active_subscriptions,android,ets_additive_trend_seasonal_7,ETS,2026-04-03,17,445.999994,2026-03-16,18,2026-03-17
active-subscriptions-4w-capacity,active-subscriptions-statsmodels-candidates,active_subscriptions,android,ets_additive_trend_seasonal_7,ETS,2026-04-04,18,432.999993,2026-03-16,19,2026-03-17
active-subscriptions-4w-capacity,active-subscriptions-statsmodels-candidates,active_subscriptions,android,ets_additive_trend_seasonal_7,ETS,2026-04-05,19,436.999993,2026-03-16,20,2026-03-17
active-subscriptions-4w-capacity,active-subscriptions-statsmodels-candidates,active_subscriptions,android,ets_additive_trend_seasonal_7,ETS,2026-04-06,20,457.999993,2026-03-16,21,2026-03-17
active-subscriptions-4w-capacity,active-subscriptions-statsmodels-candidates,active_subscriptions,android,ets_additive_trend_seasonal_7,ETS,2026-04-07,21,461.999993,2026-03-16,22,2026-03-17
active-subscriptions-4w-capacity,active-subscriptions-statsmodels-candidates,active_subscriptions,android,ets_additive_trend_seasonal_7,ETS,2026-04-08,22,465.999992,2026-03-16,23,2026-03-17
active-subscriptions-4w-capacity,active-subscriptions-statsmodels-candidates,active_subscriptions,android,ets_additive_trend_seasonal_7,ETS,2026-04-09,23,469.999992,2026-03-16,24,2026-03-17
active-subscriptions-4w-capacity,active-subscriptions-statsmodels-candidates,active_subscriptions,android,ets_additive_trend_seasonal_7,ETS,2026-04-10,24,473.999991,2026-03-16,25,2026-03-17
active-subscriptions-4w-capacity,active-subscriptions-statsmodels-candidates,active_subscriptions,android,ets_additive_trend_seasonal_7,ETS,2026-04-11,25,460.99999,2026-03-16,26,2026-03-17
active-subscriptions-4w-capacity,active-subscriptions-statsmodels-candidates,active_subscriptions,android,ets_additive_trend_seasonal_7,ETS,2026-04-12,26,464.99999,2026-03-16,27,2026-03-17
active-subscriptions-4w-capacity,active-subscriptions-statsmodels-candidates,active_subscriptions,android,ets_additive_trend_seasonal_7,ETS,2026-04-13,27,485.99999,2026-03-16,28,2026-03-17
active-subscriptions-4w-capacity,active-subscriptions-statsmodels-candidates,active_subscriptions,android,ets_additive_trend_seasonal_7,ETS,2026-04-14,28,489.99999,2026-03-16,29,2026-03-17
active-subscriptions-4w-capacity,active-subscriptions-statsmodels-candidates,active_subscriptions,android,arima_1_1_0,ARIMA,2026-03-18,1,377.597805,2026-03-16,2,2026-03-17
active-subscriptions-4w-capacity,active-subscriptions-statsmodels-candidates,active_subscriptions,android,arima_1_1_0,ARIMA,2026-03-19,2,377.667404,2026-03-16,3,2026-03-17
active-subscriptions-4w-capacity,active-subscriptions-statsmodels-candidates,active_subscriptions,android,arima_1_1_0,ARIMA,2026-03-20,3,377.677781,2026-03-16,4,2026-03-17
active-subscriptions-4w-capacity,active-subscriptions-statsmodels-candidates,active_subscriptions,android,arima_1_1_0,ARIMA,2026-03-21,4,377.679328,2026-03-16,5,2026-03-17
active-subscriptions-4w-capacity,active-subscriptions-statsmodels-candidates,active_subscriptions,android,arima_1_1_0,ARIMA,2026-03-22,5,377.679559,2026-03-16,6,2026-03-17
active-subscriptions-4w-capacity,active-subscriptions-statsmodels-candidates,active_subscriptions,android,arima_1_1_0,ARIMA,2026-03-23,6,377.679593,2026-03-16,7,2026-03-17
active-subscriptions-4w-capacity,active-subscriptions-statsmodels-candidates,active_subscriptions,android,arima_1_1_0,ARIMA,2026-03-24,7,377.679599,2026-03-16,8,2026-03-17
active-subscriptions-4w-capacity,active-subscriptions-statsmodels-candidates,active_subscriptions,android,arima_1_1_0,ARIMA,2026-03-25,8,377.679599,2026-03-16,9,2026-03-17
active-subscriptions-4w-capacity,active-subscriptions-statsmodels-candidates,active_subscriptions,android,arima_1_1_0,ARIMA,2026-03-26,9,377.679599,2026-03-16,10,2026-03-17
active-subscriptions-4w-capacity,active-subscriptions-statsmodels-candidates,active_subscriptions,android,arima_1_1_0,ARIMA,2026-03-27,10,377.679599,2026-03-16,11,2026-03-17
active-subscriptions-4w-capacity,active-subscriptions-statsmodels-candidates,active_subscriptions,android,arima_1_1_0,ARIMA,2026-03-28,11,377.679599,2026-03-16,12,2026-03-17
active-subscriptions-4w-capacity,active-subscriptions-statsmodels-candidates,active_subscriptions,android,arima_1_1_0,ARIMA,2026-03-29,12,377.679599,2026-03-16,13,2026-03-17
active-subscriptions-4w-capacity,active-subscriptions-statsmodels-candidates,active_subscriptions,android,arima_1_1_0,ARIMA,2026-03-30,13,377.679599,2026-03-16,14,2026-03-17
active-subscriptions-4w-capacity,active-subscriptions-statsmodels-candidates,active_subscriptions,android,arima_1_1_0,ARIMA,2026-03-31,14,377.679599,2026-03-16,15,2026-03-17
active-subscriptions-4w-capacity,active-subscriptions-statsmodels-candidates,active_subscriptions,android,arima_1_1_0,ARIMA,2026-04-01,15,377.679599,2026-03-16,16,2026-03-17
active-subscriptions-4w-capacity,active-subscriptions-statsmodels-candidates,active_subscriptions,android,arima_1_1_0,ARIMA,2026-04-02,16,377.679599,2026-03-16,17,2026-03-17
active-subscriptions-4w-capacity,active-subscriptions-statsmodels-candidates,active_subscriptions,android,arima_1_1_0,ARIMA,2026-04-03,17,377.679599,2026-03-16,18,2026-03-17
active-subscriptions-4w-capacity,active-subscriptions-statsmodels-candidates,active_subscriptions,android,arima_1_1_0,ARIMA,2026-04-04,18,377.679599,2026-03-16,19,2026-03-17
active-subscriptions-4w-capacity,active-subscriptions-statsmodels-candidates,active_subscriptions,android,arima_1_1_0,ARIMA,2026-04-05,19,377.679599,2026-03-16,20,2026-03-17
active-subscriptions-4w-capacity,active-subscriptions-statsmodels-candidates,active_subscriptions,android,arima_1_1_0,ARIMA,2026-04-06,20,377.679599,2026-03-16,21,2026-03-17
active-subscriptions-4w-capacity,active-subscriptions-statsmodels-candidates,active_subscriptions,android,arima_1_1_0,ARIMA,2026-04-07,21,377.679599,2026-03-16,22,2026-03-17
active-subscriptions-4w-capacity,active-subscriptions-statsmodels-candidates,active_subscriptions,android,arima_1_1_0,ARIMA,2026-04-08,22,377.679599,2026-03-16,23,2026-03-17
active-subscriptions-4w-capacity,active-subscriptions-statsmodels-candidates,active_subscriptions,android,arima_1_1_0,ARIMA,2026-04-09,23,377.679599,2026-03-16,24,2026-03-17
active-subscriptions-4w-capacity,active-subscriptions-statsmodels-candidates,active_subscriptions,android,arima_1_1_0,ARIMA,2026-04-10,24,377.679599,2026-03-16,25,2026-03-17
active-subscriptions-4w-capacity,active-subscriptions-statsmodels-candidates,active_subscriptions,android,arima_1_1_0,ARIMA,2026-04-11,25,377.679599,2026-03-16,26,2026-03-17
active-subscriptions-4w-capacity,active-subscriptions-statsmodels-candidates,active_subscriptions,android,arima_1_1_0,ARIMA,2026-04-12,26,377.679599,2026-03-16,27,2026-03-17
active-subscriptions-4w-capacity,active-subscriptions-statsmodels-candidates,active_subscriptions,android,arima_1_1_0,ARIMA,2026-04-13,27,377.679599,2026-03-16,28,2026-03-17
active-subscriptions-4w-capacity,active-subscriptions-statsmodels-candidates,active_subscriptions,android,arima_1_1_0,ARIMA,2026-04-14,28,377.679599,2026-03-16,29,2026-03-17
