backtest_id,forecast_id,split_id,window_type,metric_id,segment_id,model_id,model_role,family,forecast_date,horizon_step,forecast_value,training_start,training_end,raw_step,anchor_dates,fit_status,convergence_status,statsmodels_warning_count,statsmodels_warnings
active-subscriptions-rolling-origin-backtest,active-subscriptions-4w-capacity,bt-expanding-2026-02-24,expanding,active_subscriptions,android,seasonal_naive_7,primary_baseline,Baseline,2026-02-25,2,270,2026-02-02,2026-02-22,3,2026-02-18,fit,not_applicable,0,
active-subscriptions-rolling-origin-backtest,active-subscriptions-4w-capacity,bt-expanding-2026-02-24,expanding,active_subscriptions,android,seasonal_naive_7,primary_baseline,Baseline,2026-02-26,3,274,2026-02-02,2026-02-22,4,2026-02-19,fit,not_applicable,0,
active-subscriptions-rolling-origin-backtest,active-subscriptions-4w-capacity,bt-expanding-2026-02-24,expanding,active_subscriptions,android,ets_additive_trend_seasonal_7,candidate,ETS,2026-02-24,1,294,2026-02-02,2026-02-22,2,,fit,converged,0,
active-subscriptions-rolling-origin-backtest,active-subscriptions-4w-capacity,bt-expanding-2026-02-24,expanding,active_subscriptions,android,ets_additive_trend_seasonal_7,candidate,ETS,2026-02-25,2,298,2026-02-02,2026-02-22,3,,fit,converged,0,
active-subscriptions-rolling-origin-backtest,active-subscriptions-4w-capacity,bt-expanding-2026-02-24,expanding,active_subscriptions,android,ets_additive_trend_seasonal_7,candidate,ETS,2026-02-26,3,302,2026-02-02,2026-02-22,4,,fit,converged,0,
active-subscriptions-rolling-origin-backtest,active-subscriptions-4w-capacity,bt-expanding-2026-02-24,expanding,active_subscriptions,android,arima_1_1_0,candidate,ARIMA,2026-02-24,1,269.460007,2026-02-02,2026-02-22,2,,fit,converged,0,
active-subscriptions-rolling-origin-backtest,active-subscriptions-4w-capacity,bt-expanding-2026-02-24,expanding,active_subscriptions,android,arima_1_1_0,candidate,ARIMA,2026-02-25,2,269.464526,2026-02-02,2026-02-22,3,,fit,converged,0,
active-subscriptions-rolling-origin-backtest,active-subscriptions-4w-capacity,bt-expanding-2026-02-24,expanding,active_subscriptions,android,arima_1_1_0,candidate,ARIMA,2026-02-26,3,269.464997,2026-02-02,2026-02-22,4,,fit,converged,0,
active-subscriptions-rolling-origin-backtest,active-subscriptions-4w-capacity,bt-expanding-2026-03-03,expanding,active_subscriptions,all,seasonal_naive_7,primary_baseline,Baseline,2026-03-03,1,944,2026-02-02,2026-03-01,2,2026-02-24,fit,not_applicable,0,
active-subscriptions-rolling-origin-backtest,active-subscriptions-4w-capacity,bt-expanding-2026-03-03,expanding,active_subscriptions,all,seasonal_naive_7,primary_baseline,Baseline,2026-03-04,2,953,2026-02-02,2026-03-01,3,2026-02-25,fit,not_applicable,0,
active-subscriptions-rolling-origin-backtest,active-subscriptions-4w-capacity,bt-expanding-2026-03-03,expanding,active_subscriptions,all,seasonal_naive_7,primary_baseline,Baseline,2026-03-05,3,962,2026-02-02,2026-03-01,4,2026-02-26,fit,not_applicable,0,
active-subscriptions-rolling-origin-backtest,active-subscriptions-4w-capacity,bt-expanding-2026-03-03,expanding,active_subscriptions,all,ets_additive_trend_seasonal_7,candidate,ETS,2026-03-03,1,1006.999994,2026-02-02,2026-03-01,2,,fit,converged,0,
active-subscriptions-rolling-origin-backtest,active-subscriptions-4w-capacity,bt-expanding-2026-03-03,expanding,active_subscriptions,all,ets_additive_trend_seasonal_7,candidate,ETS,2026-03-04,2,1015.999988,2026-02-02,2026-03-01,3,,fit,converged,0,
active-subscriptions-rolling-origin-backtest,active-subscriptions-4w-capacity,bt-expanding-2026-03-03,expanding,active_subscriptions,all,ets_additive_trend_seasonal_7,candidate,ETS,2026-03-05,3,1024.999983,2026-02-02,2026-03-01,4,,fit,converged,0,
active-subscriptions-rolling-origin-backtest,active-subscriptions-4w-capacity,bt-expanding-2026-03-03,expanding,active_subscriptions,all,arima_1_1_0,candidate,ARIMA,2026-03-03,1,950.100244,2026-02-02,2026-03-01,2,,fit,converged,0,
active-subscriptions-rolling-origin-backtest,active-subscriptions-4w-capacity,bt-expanding-2026-03-03,expanding,active_subscriptions,all,arima_1_1_0,candidate,ARIMA,2026-03-04,2,950.112263,2026-02-02,2026-03-01,3,,fit,converged,0,
active-subscriptions-rolling-origin-backtest,active-subscriptions-4w-capacity,bt-expanding-2026-03-03,expanding,active_subscriptions,all,arima_1_1_0,candidate,ARIMA,2026-03-05,3,950.113586,2026-02-02,2026-03-01,4,,fit,converged,0,
active-subscriptions-rolling-origin-backtest,active-subscriptions-4w-capacity,bt-expanding-2026-03-03,expanding,active_subscriptions,android,seasonal_naive_7,primary_baseline,Baseline,2026-03-03,1,294,2026-02-02,2026-03-01,2,2026-02-24,fit,not_applicable,0,
active-subscriptions-rolling-origin-backtest,active-subscriptions-4w-capacity,bt-expanding-2026-03-03,expanding,active_subscriptions,android,seasonal_naive_7,primary_baseline,Baseline,2026-03-04,2,298,2026-02-02,2026-03-01,3,2026-02-25,fit,not_applicable,0,
active-subscriptions-rolling-origin-backtest,active-subscriptions-4w-capacity,bt-expanding-2026-03-03,expanding,active_subscriptions,android,seasonal_naive_7,primary_baseline,Baseline,2026-03-05,3,302,2026-02-02,2026-03-01,4,2026-02-26,fit,not_applicable,0,
active-subscriptions-rolling-origin-backtest,active-subscriptions-4w-capacity,bt-expanding-2026-03-03,expanding,active_subscriptions,android,ets_additive_trend_seasonal_7,candidate,ETS,2026-03-03,1,322.000001,2026-02-02,2026-03-01,2,,fit,converged,0,
active-subscriptions-rolling-origin-backtest,active-subscriptions-4w-capacity,bt-expanding-2026-03-03,expanding,active_subscriptions,android,ets_additive_trend_seasonal_7,candidate,ETS,2026-03-04,2,326,2026-02-02,2026-03-01,3,,fit,converged,0,
active-subscriptions-rolling-origin-backtest,active-subscriptions-4w-capacity,bt-expanding-2026-03-03,expanding,active_subscriptions,android,ets_additive_trend_seasonal_7,candidate,ETS,2026-03-05,3,330.000002,2026-02-02,2026-03-01,4,,fit,converged,0,
active-subscriptions-rolling-origin-backtest,active-subscriptions-4w-capacity,bt-expanding-2026-03-03,expanding,active_subscriptions,android,arima_1_1_0,candidate,ARIMA,2026-03-03,1,297.54545,2026-02-02,2026-03-01,2,,fit,converged,0,
active-subscriptions-rolling-origin-backtest,active-subscriptions-4w-capacity,bt-expanding-2026-03-03,expanding,active_subscriptions,android,arima_1_1_0,candidate,ARIMA,2026-03-04,2,297.552638,2026-02-02,2026-03-01,3,,fit,converged,0,
active-subscriptions-rolling-origin-backtest,active-subscriptions-4w-capacity,bt-expanding-2026-03-03,expanding,active_subscriptions,android,arima_1_1_0,candidate,ARIMA,2026-03-05,3,297.553512,2026-02-02,2026-03-01,4,,fit,converged,0,
active-subscriptions-rolling-origin-backtest,active-subscriptions-4w-capacity,bt-rolling-2026-03-10,rolling,active_subscriptions,all,seasonal_naive_7,primary_baseline,Baseline,2026-03-10,1,1007,2026-02-16,2026-03-08,2,2026-03-03,fit,not_applicable,0,
active-subscriptions-rolling-origin-backtest,active-subscriptions-4w-capacity,bt-rolling-2026-03-10,rolling,active_subscriptions,all,seasonal_naive_7,primary_baseline,Baseline,2026-03-11,2,1016,2026-02-16,2026-03-08,3,2026-03-04,fit,not_applicable,0,
active-subscriptions-rolling-origin-backtest,active-subscriptions-4w-capacity,bt-rolling-2026-03-10,rolling,active_subscriptions,all,seasonal_naive_7,primary_baseline,Baseline,2026-03-12,3,1025,2026-02-16,2026-03-08,4,2026-03-05,fit,not_applicable,0,
active-subscriptions-rolling-origin-backtest,active-subscriptions-4w-capacity,bt-rolling-2026-03-10,rolling,active_subscriptions,all,ets_additive_trend_seasonal_7,candidate,ETS,2026-03-10,1,1070.000002,2026-02-16,2026-03-08,2,,fit,converged,0,
active-subscriptions-rolling-origin-backtest,active-subscriptions-4w-capacity,bt-rolling-2026-03-10,rolling,active_subscriptions,all,ets_additive_trend_seasonal_7,candidate,ETS,2026-03-11,2,1079.000008,2026-02-16,2026-03-08,3,,fit,converged,0,
active-subscriptions-rolling-origin-backtest,active-subscriptions-4w-capacity,bt-rolling-2026-03-10,rolling,active_subscriptions,all,ets_additive_trend_seasonal_7,candidate,ETS,2026-03-12,3,1088.00001,2026-02-16,2026-03-08,4,,fit,converged,0,
active-subscriptions-rolling-origin-backtest,active-subscriptions-4w-capacity,bt-rolling-2026-03-10,rolling,active_subscriptions,all,arima_1_1_0,candidate,ARIMA,2026-03-10,1,1012.913429,2026-02-16,2026-03-08,2,,fit,converged,0,
active-subscriptions-rolling-origin-backtest,active-subscriptions-4w-capacity,bt-rolling-2026-03-10,rolling,active_subscriptions,all,arima_1_1_0,candidate,ARIMA,2026-03-11,2,1012.920637,2026-02-16,2026-03-08,3,,fit,converged,0,
active-subscriptions-rolling-origin-backtest,active-subscriptions-4w-capacity,bt-rolling-2026-03-10,rolling,active_subscriptions,all,arima_1_1_0,candidate,ARIMA,2026-03-12,3,1012.921306,2026-02-16,2026-03-08,4,,fit,converged,0,
active-subscriptions-rolling-origin-backtest,active-subscriptions-4w-capacity,bt-rolling-2026-03-10,rolling,active_subscriptions,android,seasonal_naive_7,primary_baseline,Baseline,2026-03-10,1,322,2026-02-16,2026-03-08,2,2026-03-03,fit,not_applicable,0,
active-subscriptions-rolling-origin-backtest,active-subscriptions-4w-capacity,bt-rolling-2026-03-10,rolling,active_subscriptions,android,seasonal_naive_7,primary_baseline,Baseline,2026-03-11,2,326,2026-02-16,2026-03-08,3,2026-03-04,fit,not_applicable,0,
active-subscriptions-rolling-origin-backtest,active-subscriptions-4w-capacity,bt-rolling-2026-03-10,rolling,active_subscriptions,android,seasonal_naive_7,primary_baseline,Baseline,2026-03-12,3,330,2026-02-16,2026-03-08,4,2026-03-05,fit,not_applicable,0,
active-subscriptions-rolling-origin-backtest,active-subscriptions-4w-capacity,bt-rolling-2026-03-10,rolling,active_subscriptions,android,ets_additive_trend_seasonal_7,candidate,ETS,2026-03-10,1,350,2026-02-16,2026-03-08,2,,fit,converged,0,
active-subscriptions-rolling-origin-backtest,active-subscriptions-4w-capacity,bt-rolling-2026-03-10,rolling,active_subscriptions,android,ets_additive_trend_seasonal_7,candidate,ETS,2026-03-11,2,354,2026-02-16,2026-03-08,3,,fit,converged,0,
active-subscriptions-rolling-origin-backtest,active-subscriptions-4w-capacity,bt-rolling-2026-03-10,rolling,active_subscriptions,android,ets_additive_trend_seasonal_7,candidate,ETS,2026-03-12,3,358,2026-02-16,2026-03-08,4,,fit,converged,0,
active-subscriptions-rolling-origin-backtest,active-subscriptions-4w-capacity,bt-rolling-2026-03-10,rolling,active_subscriptions,android,arima_1_1_0,candidate,ARIMA,2026-03-10,1,325.460007,2026-02-16,2026-03-08,2,,fit,converged,0,
active-subscriptions-rolling-origin-backtest,active-subscriptions-4w-capacity,bt-rolling-2026-03-10,rolling,active_subscriptions,android,arima_1_1_0,candidate,ARIMA,2026-03-11,2,325.464526,2026-02-16,2026-03-08,3,,fit,converged,0,
active-subscriptions-rolling-origin-backtest,active-subscriptions-4w-capacity,bt-rolling-2026-03-10,rolling,active_subscriptions,android,arima_1_1_0,candidate,ARIMA,2026-03-12,3,325.464997,2026-02-16,2026-03-08,4,,fit,converged,0,
active-subscriptions-rolling-origin-backtest,active-subscriptions-4w-capacity,bt-rolling-2026-03-14,rolling,active_subscriptions,all,seasonal_naive_7,primary_baseline,Baseline,2026-03-14,1,1003,2026-02-20,2026-03-12,2,2026-03-07,fit,not_applicable,0,
active-subscriptions-rolling-origin-backtest,active-subscriptions-4w-capacity,bt-rolling-2026-03-14,rolling,active_subscriptions,all,seasonal_naive_7,primary_baseline,Baseline,2026-03-15,2,1012,2026-02-20,2026-03-12,3,2026-03-08,fit,not_applicable,0,
active-subscriptions-rolling-origin-backtest,active-subscriptions-4w-capacity,bt-rolling-2026-03-14,rolling,active_subscriptions,all,seasonal_naive_7,primary_baseline,Baseline,2026-03-16,3,1073,2026-02-20,2026-03-12,4,2026-03-09,fit,not_applicable,0,
active-subscriptions-rolling-origin-backtest,active-subscriptions-4w-capacity,bt-rolling-2026-03-14,rolling,active_subscriptions,all,ets_additive_trend_seasonal_7,candidate,ETS,2026-03-14,1,1078.000112,2026-02-20,2026-03-12,2,,fit,converged,0,
active-subscriptions-rolling-origin-backtest,active-subscriptions-4w-capacity,bt-rolling-2026-03-14,rolling,active_subscriptions,all,ets_additive_trend_seasonal_7,candidate,ETS,2026-03-15,2,1087.000217,2026-02-20,2026-03-12,3,,fit,converged,0,
active-subscriptions-rolling-origin-backtest,active-subscriptions-4w-capacity,bt-rolling-2026-03-14,rolling,active_subscriptions,all,ets_additive_trend_seasonal_7,candidate,ETS,2026-03-16,3,1140.000305,2026-02-20,2026-03-12,4,,fit,converged,0,
active-subscriptions-rolling-origin-backtest,active-subscriptions-4w-capacity,bt-rolling-2026-03-14,rolling,active_subscriptions,all,arima_1_1_0,candidate,ARIMA,2026-03-14,1,1101.787168,2026-02-20,2026-03-12,2,,fit,converged,0,
active-subscriptions-rolling-origin-backtest,active-subscriptions-4w-capacity,bt-rolling-2026-03-14,rolling,active_subscriptions,all,arima_1_1_0,candidate,ARIMA,2026-03-15,2,1101.831195,2026-02-20,2026-03-12,3,,fit,converged,0,
active-subscriptions-rolling-origin-backtest,active-subscriptions-4w-capacity,bt-rolling-2026-03-14,rolling,active_subscriptions,all,arima_1_1_0,candidate,ARIMA,2026-03-16,3,1101.838669,2026-02-20,2026-03-12,4,,fit,converged,0,
active-subscriptions-rolling-origin-backtest,active-subscriptions-4w-capacity,bt-rolling-2026-03-14,rolling,active_subscriptions,android,seasonal_naive_7,primary_baseline,Baseline,2026-03-14,1,321,2026-02-20,2026-03-12,2,2026-03-07,fit,not_applicable,0,
active-subscriptions-rolling-origin-backtest,active-subscriptions-4w-capacity,bt-rolling-2026-03-14,rolling,active_subscriptions,android,seasonal_naive_7,primary_baseline,Baseline,2026-03-15,2,325,2026-02-20,2026-03-12,3,2026-03-08,fit,not_applicable,0,
active-subscriptions-rolling-origin-backtest,active-subscriptions-4w-capacity,bt-rolling-2026-03-14,rolling,active_subscriptions,android,seasonal_naive_7,primary_baseline,Baseline,2026-03-16,3,346,2026-02-20,2026-03-12,4,2026-03-09,fit,not_applicable,0,
active-subscriptions-rolling-origin-backtest,active-subscriptions-4w-capacity,bt-rolling-2026-03-14,rolling,active_subscriptions,android,ets_additive_trend_seasonal_7,candidate,ETS,2026-03-14,1,348.999998,2026-02-20,2026-03-12,2,,fit,converged,0,
active-subscriptions-rolling-origin-backtest,active-subscriptions-4w-capacity,bt-rolling-2026-03-14,rolling,active_subscriptions,android,ets_additive_trend_seasonal_7,candidate,ETS,2026-03-15,2,353.000001,2026-02-20,2026-03-12,3,,fit,converged,0,
active-subscriptions-rolling-origin-backtest,active-subscriptions-4w-capacity,bt-rolling-2026-03-14,rolling,active_subscriptions,android,ets_additive_trend_seasonal_7,candidate,ETS,2026-03-16,3,374.000003,2026-02-20,2026-03-12,4,,fit,converged,0,
active-subscriptions-rolling-origin-backtest,active-subscriptions-4w-capacity,bt-rolling-2026-03-14,rolling,active_subscriptions,android,arima_1_1_0,candidate,ARIMA,2026-03-14,1,358.863399,2026-02-20,2026-03-12,2,,fit,converged,0,
active-subscriptions-rolling-origin-backtest,active-subscriptions-4w-capacity,bt-rolling-2026-03-14,rolling,active_subscriptions,android,arima_1_1_0,candidate,ARIMA,2026-03-15,2,358.887725,2026-02-20,2026-03-12,3,,fit,converged,0,
active-subscriptions-rolling-origin-backtest,active-subscriptions-4w-capacity,bt-rolling-2026-03-14,rolling,active_subscriptions,android,arima_1_1_0,candidate,ARIMA,2026-03-16,3,358.892166,2026-02-20,2026-03-12,4,,fit,converged,0,
